Group,x,y,t,s,Reply,Gender
Q,-3.1468012389479,-98.202012887784,0,1,Disagree,Male
P,12.122765029838,166.5648705473,0,1,Disagree,Male
S,40.050303783291,-101.84860189066,1,1,Agree,Male
P,-7.11482600454,445.70353711057,0,0,Disagree,Female
Q,-4.8757819784227,-181.79812646042,0,1,Disagree,Male
P,4.2594823289008,152.12210739829,0,0,Disagree,Female
R,16.521665506773,-44.375719244767,0,0,Disagree,Female
P,9.0992728812151,110.88958111866,0,1,Disagree,Male
R,25.996844942214,116.11232910497,0,0,Disagree,Female
S,-71.069780369787,120.74349822232,0,0,Disagree,Female
S,-16.615390698712,-157.47312046377,0,1,Disagree,Male
S,-7.9962530941685,-33.238562678564,0,0,Disagree,Female
R,-0.33436832173466,172.94906928248,0,0,Disagree,Female
R,34.001300945413,137.10821378748,0,1,Disagree,Male
R,-11.525462448842,295.85084936295,0,1,Disagree,Male
P,13.279023957103,163.20409821263,0,1,Disagree,Male
R,-12.829258602964,344.17959183556,0,0,Disagree,Female
R,13.696919991959,342.59760777494,0,1,Disagree,Male
R,26.306853375075,45.86259044421,0,0,Disagree,Female
Q,-7.9678211505375,-158.09596380549,0,1,Disagree,Male
Q,4.1968646706999,49.41164083798,0,0,Disagree,Female
R,7.6795454438215,80.160607517772,0,1,Disagree,Male
S,3.1596175977772,-356.13253347861,0,0,Disagree,Female
R,-40.054237569242,312.47736322716,0,0,Disagree,Female
S,-18.367676243823,-17.381938313778,1,1,Agree,Male
Q,-1.1931716768039,-62.785808691655,0,1,Disagree,Male
P,13.555583559235,28.466103823607,0,0,Disagree,Female
R,69.716709077692,-275.09289645455,0,1,Disagree,Male
R,10.854640192285,0.59266184856779,0,1,Disagree,Male
Q,-2.7710723996959,-196.00542789558,0,0,Disagree,Female
S,-1.7620439216318,-167.42325577392,1,0,Agree,Female
P,13.523657822294,46.501817429206,0,1,Disagree,Male
P,7.6935767292481,128.32417769512,0,1,Disagree,Male
P,3.818194413473,122.55292920282,0,1,Disagree,Male
P,13.59646628266,185.88873333805,0,1,Disagree,Male
P,16.337723582209,182.84855555177,0,0,Disagree,Female
R,17.349752389989,218.33793131464,0,0,Disagree,Female
Q,-19.225440556288,-33.670862746737,0,0,Disagree,Female
Q,-3.8101341653662,-175.97964871907,0,0,Disagree,Female
P,21.028297188239,-239.28240542499,0,1,Disagree,Male
Q,8.7981482459224,37.486942162964,0,0,Disagree,Female
R,-28.242719411497,661.21454300322,0,1,Disagree,Male
R,6.7752918013257,112.05735058061,0,0,Disagree,Female
P,14.466441806157,386.04485448033,0,0,Disagree,Female
P,-16.277742277029,465.2455666383,0,1,Disagree,Male
Q,-5.5255118247706,-60.301784048463,0,1,Disagree,Male
Q,-5.8993563432709,-397.77049428167,0,1,Disagree,Male
R,8.3496813687262,93.330250559994,0,0,Disagree,Female
S,-20.870760581862,-46.493388136147,0,0,Disagree,Female
P,-4.8336055599309,411.93906830947,0,1,Disagree,Male
S,-7.0827468322044,-9.3250287600445,0,0,Disagree,Female
P,15.257451992136,41.770797761516,0,0,Disagree,Female
Q,-8.4578454394163,-125.22933513589,0,1,Disagree,Male
P,9.1007634522863,-37.541033203034,0,1,Disagree,Male
R,39.666530367297,-33.740839425354,0,0,Disagree,Female
P,-8.3264656743624,291.33421281182,0,0,Disagree,Female
S,7.1850646166993,17.942555350225,1,1,Agree,Male
S,-29.245064348097,-190.80990337339,1,0,Agree,Female
P,32.051680897852,-192.80155499829,0,1,Disagree,Male
P,14.15284163186,-76.678140862695,0,1,Disagree,Male
P,6.9303804291088,230.14725320281,0,1,Disagree,Male
Q,-12.56982780647,-209.99341669446,0,1,Disagree,Male
P,-1.1523537799494,75.446814648084,0,0,Disagree,Female
R,6.3854892288267,454.06351720545,0,0,Disagree,Female
R,25.467399499597,147.30670029545,0,0,Disagree,Female
Q,-13.125920524414,-241.09380283397,0,1,Disagree,Male
Q,-12.753842632172,-10.085464333689,0,1,Disagree,Male
Q,2.465493452952,15.560038870461,0,1,Disagree,Male
Q,-31.039613136574,-261.29215554813,0,1,Disagree,Male
S,-24.862940804969,164.1504161936,0,1,Disagree,Male
P,0.4580885011042,369.53300284899,0,1,Disagree,Male
S,-7.0253978450901,-405.35497402277,0,1,Disagree,Male
S,-0.031226671315361,-235.44490769014,1,1,Agree,Male
P,1.0399552798085,72.833601663743,0,0,Disagree,Female
P,22.368450370323,130.74845743168,0,1,Disagree,Male
P,8.5774348995543,144.38494643633,0,0,Disagree,Female
Q,-4.6468158418531,-303.15104794323,0,1,Disagree,Male
S,-10.787625935761,-34.192861256279,0,0,Disagree,Female
R,6.4413315492875,428.08859657314,0,0,Disagree,Female
S,11.177375651979,-237.0787650864,1,1,Agree,Male
Q,11.028340761563,-402.47502435533,1,0,Agree,Female
S,2.8158725466653,96.162295172998,0,1,Disagree,Male
R,-13.010699188342,173.84411420293,0,1,Disagree,Male
S,-4.2178152660922,-317.29164187018,0,0,Disagree,Female
S,-28.412679919234,108.93597643866,1,1,Agree,Male
P,0.63061113498668,46.529662279193,0,1,Disagree,Male
R,-54.005001064858,516.57551424325,0,1,Disagree,Male
R,15.296408428017,307.5329973295,0,0,Disagree,Female
P,-3.0533245373766,350.64410868829,0,1,Disagree,Male
P,2.9020072640395,233.78378683645,0,1,Disagree,Male
R,-17.8967180992,227.1870155936,0,1,Disagree,Male
R,-24.324500913417,291.48170738457,0,0,Disagree,Female
Q,-5.7151528386004,-356.60999169834,0,1,Disagree,Male
R,-8.7482438058351,365.57501358147,0,1,Disagree,Male
P,18.839345628787,9.9731834488796,0,1,Disagree,Male
Q,-8.1107517569842,-79.62171917717,0,0,Disagree,Female
Q,-25.432915487063,-223.14472692187,0,0,Disagree,Female
Q,6.2320616954156,-150.65028170573,0,0,Disagree,Female
Q,-5.9176773400594,-89.941001831992,0,0,Disagree,Female
R,1.7598277510888,212.22544970001,0,0,Disagree,Female
S,1.8797555812075,-210.71672570832,0,0,Disagree,Female
R,-24.021001140131,317.12070602231,0,1,Disagree,Male
S,5.5633921257981,-182.23108997207,1,0,Agree,Female
R,27.443899835667,135.5735533934,0,0,Disagree,Female
S,-10.972937018598,-223.81985710273,0,0,Disagree,Female
R,-12.422074380062,269.44861472466,0,1,Disagree,Male
P,-2.6299884662172,192.95149029603,0,1,Disagree,Male
S,-57.161084759124,98.900210700417,1,1,Agree,Male
S,-11.898587074084,242.67176850916,0,1,Disagree,Male
S,-61.817677996502,173.80772663458,0,0,Disagree,Female
Q,-14.51221549302,-197.49697352596,0,0,Disagree,Female
Q,-19.101982551674,-233.06334147326,0,1,Disagree,Male
S,-33.54839683629,-117.36760842864,0,0,Disagree,Female
Q,-24.343186387952,76.255824019786,0,1,Disagree,Male
S,-15.994917490052,-107.02578033462,1,0,Agree,Female
Q,-25.149290612968,-99.015475124128,0,1,Disagree,Male
P,17.852575284826,1.7100732245994,0,0,Disagree,Female
R,49.587242266437,-367.56872372216,0,1,Disagree,Male
S,-12.276936359832,-25.368990868036,0,0,Disagree,Female
R,11.702720722511,37.93881331847,0,1,Disagree,Male
P,21.170226481822,-86.5615842033,0,1,Disagree,Male
Q,-12.97002143132,-274.53019172118,0,1,Disagree,Male
R,-32.922116767579,251.75639631215,0,0,Disagree,Female
P,11.596501638925,41.643523712011,0,1,Disagree,Male
Q,-2.7683797840813,-119.06315397847,0,1,Disagree,Male
S,-19.980310295234,-31.289667964582,0,1,Disagree,Male
Q,-4.2581220964241,-231.69542283783,0,0,Disagree,Female
P,23.966853131059,121.63110737532,0,1,Disagree,Male
P,-2.6769721497209,309.06950561519,0,1,Disagree,Male
Q,-8.1970557045178,-110.22855315322,0,0,Disagree,Female
R,-35.699584129592,405.19675071966,0,0,Disagree,Female
S,3.4797008910588,-295.4066544219,0,1,Disagree,Male
P,9.028661028961,-3.1493200446244,0,1,Disagree,Male
S,-66.963456469105,116.26429545147,0,0,Disagree,Female
S,4.7728903180793,-408.31409906424,1,1,Agree,Male
R,-21.147546080941,489.30465881587,0,1,Disagree,Male
Q,16.811327556526,-219.13714783645,0,1,Disagree,Male
P,13.461552054371,128.72466604399,0,0,Disagree,Female
P,-0.53450361105357,282.48039189143,0,0,Disagree,Female
P,15.32114628438,-113.52564499645,0,1,Disagree,Male
S,-16.066417309021,-181.05448748593,0,1,Disagree,Male
R,-40.756233485302,381.48310499707,0,0,Disagree,Female
S,-38.29860769133,53.032193415348,1,0,Agree,Female
Q,-30.146085639552,-242.0967032067,0,0,Disagree,Female
Q,-1.7165031538887,16.583269060395,0,0,Disagree,Female
P,-5.3560954957996,301.4004963154,0,0,Disagree,Female
S,-13.764177414944,-149.88794887433,0,1,Disagree,Male
Q,15.294304519097,-137.02304135823,0,1,Disagree,Male
Q,-26.111636836599,121.24823398993,0,0,Disagree,Female
P,28.897599876345,24.131920374526,0,0,Disagree,Female
P,15.813609442121,-2.2660910278867,0,0,Disagree,Female
P,14.496817913138,210.23398129513,0,0,Disagree,Female
P,3.489530802001,205.93247999015,0,1,Disagree,Male
S,-30.10379933757,-68.33033689965,0,0,Disagree,Female
P,31.337827319437,-224.37225307309,0,1,Disagree,Male
Q,-16.501983713592,-111.58899520086,0,0,Disagree,Female
R,18.391475628778,-146.86155445821,0,0,Disagree,Female
S,12.394230020882,-351.28377321702,0,0,Disagree,Female
P,20.047758864727,321.10758393822,0,0,Disagree,Female
P,-2.3531773553012,322.7175531712,0,0,Disagree,Female
Q,-9.2370557939806,-64.998358229174,0,1,Disagree,Male
Q,-16.79971354818,-34.624492616218,1,0,Agree,Female
R,12.932320283694,56.52054005513,0,1,Disagree,Male
R,31.079108737446,-37.251392425621,0,1,Disagree,Male
S,-19.89467782336,67.197277386299,0,1,Disagree,Male
S,18.895047122098,-111.39190394217,0,0,Disagree,Female
Q,-19.861132190498,-71.922362200414,0,0,Disagree,Female
Q,-8.5342882357232,95.714637505223,0,0,Disagree,Female
P,3.5981555490746,271.88486021798,0,1,Disagree,Male
R,-18.080870803018,381.24049576895,0,1,Disagree,Male
R,-0.95078630556853,7.065636098881,0,0,Disagree,Female
S,-40.846213209371,-112.59249926572,0,1,Disagree,Male
S,-19.27101507423,-57.024063825153,0,1,Disagree,Male
R,-10.546271476683,384.3210058251,0,0,Disagree,Female
Q,4.0459945905237,-195.07159098241,0,0,Disagree,Female
S,-7.542478675741,6.5792060078025,0,0,Disagree,Female
R,-20.975174100127,471.99252897873,0,1,Disagree,Male
P,-2.4176402242936,413.48776943911,0,0,Disagree,Female
S,8.8224155971885,-74.091535170605,1,1,Agree,Male
Q,-19.510958617791,-52.566208798236,0,0,Disagree,Female
R,4.4358166965823,8.103711142253,0,1,Disagree,Male
P,26.336738645722,45.657682847538,0,0,Disagree,Female
S,5.1918736371174,268.55562929369,1,0,Agree,Female
P,22.763799477259,201.80842389204,0,0,Disagree,Female
Q,-5.3408649514154,31.370313769379,1,1,Agree,Male
